"Cretolamna appendiculata","83.6","72.1","10375"
"Selachii","47.8","41.3","10411"
"Isurus","23.03","5.333","10445"
"Glyphis","23.03","5.333","10445"
"Galeocerdo","23.03","5.333","10445"
"Hemipristis serra","23.03","5.333","10445"
"Myliobatis","23.03","5.333","10445"
"Aetobatus","23.03","5.333","10445"
"Isurus","100.5","66","10449"
"Carcharias","100.5","66","10449"
"Selachii","55.8","48.6","10537"
"Selachii","55.8","48.6","10537"
"Selachii","37.2","33.9","10745"
"Lamna","41.3","38","10789"
"Myliobatis","41.3","38","10789"
"Aetobatus","41.3","38","10789"
"Squalus","41.3","38","10907"
"Carcharocles megalodon","11.608","5.333","11553"
"Heterodontus woodwardi","47.8","41.3","10858"
"Heterodontus","47.8","41.3","10858"
"Notorhynchus","47.8","41.3","10858"
"Squatina prima","47.8","41.3","10858"
"Squalus minor","47.8","41.3","10858"
"Hemiscyllium bruxelliensis","47.8","41.3","10858"
"Scyliorhinus","47.8","41.3","10858"
"Scyliorhinus","47.8","41.3","10858"
"Scyliorhinus","47.8","41.3","10858"
"Scyliorhinus pattersoni","47.8","41.3","10858"
"Scyliorhinus","47.8","41.3","10858"
"Lamna","47.8","41.3","10858"
"Synodontaspis","47.8","41.3","10858"
"Synodontaspis","47.8","41.3","10858"
"Striatolamia macrota","47.8","41.3","10858"
"Isurus praecursor","47.8","41.3","10858"
"Galeorhinus","47.8","41.3","10858"
"Galeorhinus","47.8","41.3","10858"
"Galeorhinus recticonus","47.8","41.3","10858"
"Physodon secundus","47.8","41.3","10858"
"Physodon","47.8","41.3","10858"
"Pristis lathami","47.8","41.3","10858"
"Trygon jaekeli","47.8","41.3","10858"
"Myliobatis dixoni","47.8","41.3","10858"
"Myliobatis striatus","47.8","41.3","10858"
"Myliobatis","47.8","41.3","10858"
"Aetobatis irregularis","47.8","41.3","10858"
"Burnhamia daviesi","47.8","41.3","10858"
"Archaeomanta","47.8","41.3","10858"
"Odontaspis","41.3","38","11199"
"Heterodontus woodwardi","47.8","41.3","11062"
"Heterodontus","47.8","41.3","11062"
"Heterodontus woodwardi","47.8","41.3","11062"
"Heterodontus","47.8","41.3","11062"
"Heterodontus","47.8","41.3","11062"
"Heterodontus woodwardi","47.8","41.3","11062"
"Heterodontus","47.8","41.3","11062"
"Heterodontus","47.8","41.3","11062"
"Heterodontus woodwardi","47.8","41.3","11062"
"Heterodontus","47.8","41.3","11062"
"Heterodontus","47.8","41.3","11062"
"Heterodontus woodwardi","47.8","41.3","11062"
"Heterodontus","47.8","41.3","11062"
"Notorhynchus","47.8","41.3","11062"
"Hemiscyllium","47.8","41.3","11062"
"Eostegostoma","47.8","41.3","11062"
"Palaeorhincodon","47.8","41.3","11062"
"Squatina prima","47.8","41.3","11062"
"Squalus minor","47.8","41.3","11062"
"Isistius","47.8","41.3","11062"
"Abdounia","47.8","41.3","11062"
"Abdounia","47.8","41.3","11062"
"Scyliorhinus","47.8","41.3","11062"
"Scyliorhinus pattersoni","47.8","41.3","11062"
"Scyliorhinus","47.8","41.3","11062"
"Mustelus","47.8","41.3","11062"
