"accepted_name","accepted_rank","lng","lat"
"Isurus spallanzani","species","76.983330","30.983334"
"Galeocerdo latidens","species","76.983330","30.983334"
"Galeocerdo","genus","76.983330","30.983334"
"Galeocerdo","genus","76.983330","30.983334"
"Hemipristis","genus","76.983330","30.983334"
"Paragaleus","genus","76.983330","30.983334"
"Galeorhinus","genus","76.983330","30.983334"
"Selachii","unranked clade","76.983330","30.983334"
"Myliobatis","genus","76.983330","30.983334"
"Galeocerdo latidens","species","76.983330","30.983334"
"Odontaspis acutissima","species","0.083333","44.083332"
"Odontaspis cuspidata","species","0.083333","44.083332"
"Carcharocles megalodon","species","0.083333","44.083332"
"Squalicorax","genus","-74.274170","40.259998"
"Plicatolamna arcuata","species","-74.274170","40.259998"
"Cretolamna appendiculata","species","-74.274170","40.259998"
"Odontaspis","genus","-74.274170","40.259998"
"Paranomotodon","genus","-74.274170","40.259998"
"Cretodus borodini","species","-74.274170","40.259998"
"Pseudohypolophus","genus","-74.274170","40.259998"
"Selachii","unranked clade","-74.274170","40.259998"
"Aetobatus","genus","-80.397499","27.638332"
"Myledaphus bipartitus","species","-110.470001","49.119999"
"Myledaphus bipartitus","species","-110.470001","49.119999"
"Squatirhina americana","species","-110.470001","49.119999"
"Myledaphus bipartitus","species","-110.470001","49.119999"
"Squatirhina americana","species","-110.470001","49.119999"
"Myledaphus bipartitus","species","-110.470001","49.119999"
"Myledaphus bipartitus","species","-110.470001","49.119999"
"Myledaphus bipartitus","species","-110.470001","49.119999"
"Myledaphus bipartitus","species","-110.470001","49.119999"
"Myledaphus bipartitus","species","-110.470001","49.119999"
"Myledaphus bipartitus","species","-110.470001","49.119999"
"Myledaphus bipartitus","species","-110.470001","49.119999"
"Myledaphus bipartitus","species","-110.470001","49.119999"
"Myledaphus bipartitus","species","-110.470001","49.119999"
"Myledaphus bipartitus","species","-110.470001","49.119999"
"Squatirhina americana","species","-110.470001","49.119999"
"Myledaphus bipartitus","species","-110.470001","49.119999"
"Carcharodon hastalis","species","9.059167","55.307220"
"Notidanus primigenius","species","9.059167","55.307220"
"Odontaspis","genus","9.059167","55.307220"
"Isurus","genus","9.059167","55.307220"
"Galeocerdo","genus","9.059167","55.307220"
"Cetorhinus","genus","9.059167","55.307220"
"Myledaphus","genus","-109.099998","49.500000"
"Odontaspis","genus","8.000000","34.000000"
"Lamna","genus","8.000000","34.000000"
"Odontaspis","genus","8.000000","34.000000"
"Heterodontus","genus","-85.026665","32.164165"
"Squalicorax kaupi","species","-85.026665","32.164165"
"Pseudocorax affinis","species","-85.026665","32.164165"
"Squatina hassei","species","-85.026665","32.164165"
"Ginglymostoma globidens","species","-85.026665","32.164165"
"Cretolamna appendiculata","species","-85.026665","32.164165"
"Cretodus borodini","species","-85.026665","32.164165"
"Pseudohypolophus","genus","-85.026665","32.164165"
"Chiloscyllium","genus","-105.883331","24.383333"
"Ginglymostoma","genus","-105.883331","24.383333"
"Cretorectolobus","genus","-105.883331","24.383333"
"Odontaspis","genus","-105.883331","24.383333"
"Carcharias","genus","-105.883331","24.383333"
"Cretolamna","genus","-105.883331","24.383333"
"Squalicorax","genus","-105.883331","24.383333"
"Squatirhina","genus","-105.883331","24.383333"
"Squalicorax","genus","-105.883331","24.383333"
"Chiloscyllium","genus","-98.026390","39.890278"
"Cantioscyllium decipiens","species","-98.026390","39.890278"
"Cretolamna appendiculata","species","-98.026390","39.890278"
"Squalicorax falcatus","species","-98.026390","39.890278"
"Scyliorhinus","genus","-98.026390","39.890278"
"Myledaphus","genus","-108.866669","44.983334"
"Carcharias","genus","-102.699997","36.997223"
"Carcharias","genus","-102.699997","36.997223"
"Carcharias","genus","-102.699997","36.997223"
"Archaeolamna","genus","-102.699997","36.997223"
"Cretolamna appendiculata","species","-102.699997","36.997223"
"Pseudoisurus tomosus","species","-102.699997","36.997223"
"Cretodus semiplicatus","species","-102.699997","36.997223"
"Cretoxyrhina mantelli","species","-102.699997","36.997223"
"Squalicorax curvatus","species","-102.699997","36.997223"
"Squalicorax falcatus","species","-102.699997","36.997223"
"Hexanchus","genus","35.000000","30.833332"
"Squatina hassei","species","35.000000","30.833332"
"Squalus","genus","35.000000","30.833332"
"Centrosqualus","genus","35.000000","30.833332"
"Cretascymnus","genus","35.000000","30.833332"
"Cretascymnus","genus","35.000000","30.833332"
"Squalicorax pristodontus","species","35.000000","30.833332"
"Squalicorax","genus","35.000000","30.833332"
"Squalicorax","genus","35.000000","30.833332"
"Pseudocorax affinis","species","35.000000","30.833332"
"Cretolamna appendiculata","species","35.000000","30.833332"
"Cretolamna biauriculata","species","35.000000","30.833332"
"Cretolamna","genus","35.000000","30.833332"
"Heterodontus","genus","35.000000","30.833332"
"Pteroscyllium","genus","35.000000","30.833332"
"Scyliorhinus","genus","35.000000","30.833332"
"Triakidae","family","35.000000","30.833332"
"Triakidae","family","35.000000","30.833332"
"Sclerorhynchus","genus","35.000000","30.833332"
"Hexanchus","genus","35.000000","30.833332"
"Squalicorax pristodontus","species","35.000000","30.833332"
"Squalicorax","genus","35.000000","30.833332"
"Squalicorax","genus","35.000000","30.833332"
"Pseudocorax affinis","species","35.000000","30.833332"
"Cretolamna biauriculata","species","35.000000","30.833332"
"Ginglymostoma","genus","35.000000","30.833332"
"Cretolamna appendiculata","species","32.166668","36.166668"
"Squalicorax pristodontus","species","32.166668","36.166668"
"Pristidae","family","32.166668","36.166668"
"Myledaphus bipartitus","species","-108.486115","36.486111"
"Isurus","genus","-108.513611","36.486111"
"Squatirhina americana","species","-108.513611","36.486111"
"Squatirhina","genus","-108.513611","36.486111"
"Myledaphus bipartitus","species","-108.513611","36.486111"
"Squatirhina","genus","-108.535004","36.488335"
"Myledaphus bipartitus","species","-108.535004","36.488335"
"Carcharocles megalodon","species","-9.116667","38.733334"
"Rhinoptera studeri","species","-9.116667","38.716667"
"Aetobatus arcuatus","species","-9.116667","38.716667"
"Odontaspis cuspidata","species","-9.116667","38.716667"
"Pristis aquitanicus","species","-9.116667","38.716667"
"Carcharocles megalodon","species","-9.116667","38.716667"
"Carcharhinus egertoni","species","-9.116667","38.716667"
"Squalicorax falcatus","species","-98.332001","49.331001"
"Squalicorax falcatus","species","-98.477203","49.476501"
"Onchopristis dunklei","species","173.516663","-42.566666"
"Onchopristis dunklei","species","176.750000","-39.000000"
"Lamniformes","order","43.738888","28.761110"
"Orectolobus","genus","43.738888","28.761110"
"Ginglymostoma","genus","43.738888","28.761110"
"Plicatoscyllium","genus","43.738888","28.761110"
"Scyliorhinidae","family","43.738888","28.761110"
"Myliobatidae","family","43.738888","28.761110"
"Isogomphodon","genus","5.483300","43.599998"
"Rhizoprionodon","genus","5.483300","43.599998"
"Galeorhinus","genus","5.483300","43.599998"
"Plinthicus","genus","-93.400002","31.000000"
"Rhinoptera","genus","-93.400002","31.000000"
"Myledaphus","genus","-111.484657","50.750553"
"Cretolamna","genus","44.059200","48.625599"
"Pseudocorax","genus","44.059200","48.625599"
"Notidanodon","genus","44.059200","48.625599"
"Palaeogaleus","genus","44.059200","48.625599"
"Palaeocarcharodon","genus","44.059200","48.625599"
"Odontaspis","genus","44.059200","48.625599"
"Selachii","unranked clade","44.059200","48.625599"
"Selachii","unranked clade","44.059200","48.625599"
"Pseudocorax affinis","species","31.075001","30.012501"
"Cretolamna appendiculata","species","32.623058","28.485830"
"Lamna serra","species","29.166670","25.500000"
"Lamna","genus","29.166670","25.500000"
"Squalicorax pristodontus","species","29.166670","25.500000"
"Cretolamna appendiculata","species","31.533331","29.666670"
"Cretolamna appendiculata","species","31.915831","26.180559"
"Selachii","unranked clade","4.563495","50.918949"
"Isurus","genus","79.816666","8.283333"
"Glyphis","genus","79.816666","8.283333"
"Galeocerdo","genus","79.816666","8.283333"
"Hemipristis serra","species","79.816666","8.283333"
"Myliobatis","genus","79.816666","8.283333"
 species not entered","Aetobatus","10445","79.816666"
"Isurus","genus","27.583332","-32.983334"
"Carcharias","genus","27.583332","-32.983334"
"Selachii","unranked clade","1.274000","51.846001"
"Selachii","unranked clade","1.274000","51.846001"
"Selachii","unranked clade","-1.566667","50.666668"
"Lamna","genus","-1.592778","50.724998"
"Myliobatis","genus","-1.592778","50.724998"
 obsolete variant of","Aetobatus","10789","-1.592778"
"Squalus","genus","-1.083333","50.666668"
"Carcharocles megalodon","species","32.266666","-28.416668"
"Heterodontus woodwardi","species","-1.200500","50.796001"
"Heterodontus","genus","-1.200500","50.796001"
"Notorhynchus","genus","-1.200500","50.796001"
"Squatina prima","species","-1.200500","50.796001"
"Squalus minor","species","-1.200500","50.796001"
"Hemiscyllium bruxelliensis","species","-1.200500","50.796001"
"Scyliorhinus","genus","-1.200500","50.796001"
"Scyliorhinus","genus","-1.200500","50.796001"
"Scyliorhinus","genus","-1.200500","50.796001"
"Scyliorhinus pattersoni","species","-1.200500","50.796001"
"Scyliorhinus","genus","-1.200500","50.796001"
"Lamna","genus","-1.200500","50.796001"
"Synodontaspis","genus","-1.200500","50.796001"
"Synodontaspis","genus","-1.200500","50.796001"
"Striatolamia macrota","species","-1.200500","50.796001"
"Isurus praecursor","species","-1.200500","50.796001"
"Galeorhinus","genus","-1.200500","50.796001"
"Galeorhinus","genus","-1.200500","50.796001"
"Galeorhinus recticonus","species","-1.200500","50.796001"
"Physodon secundus","species","-1.200500","50.796001"
"Physodon","genus","-1.200500","50.796001"
"Pristis lathami","species","-1.200500","50.796001"
"Trygon jaekeli","species","-1.200500","50.796001"
"Myliobatis dixoni","species","-1.200500","50.796001"
"Myliobatis striatus","species","-1.200500","50.796001"
