Species	Status
Sclerorhynchus_atavus	extinct
Scoliodon	extinct
Scoliodon_terraenovae	extinct
Scyliorhinidae	extinct
Scyliorhinus	extinct
Scyliorhinus_distans	extinct
Scyliorhinus_enniskilleni	extinct
Scyliorhinus_pattersoni	extinct
Scyllium_tumidens	extinct
Selachii	extinct
Serratolamna	extinct
Somniosidae	extinct
Sphyrna	extinct
Sphyrna_americana	extinct
Sphyrna_gilmorei	extinct
Sphyrna_laevissima	extinct
Sphyrna_lewini	extinct
Sphyrna_magna	extinct
Sphyrna_media	extinct
Sphyrna_prisca	extinct
Sphyrna_zygaena	extinct
Sphyrnidae	extinct
Squalicorax	extinct
Squalicorax_curvatus	extinct
Squalicorax_dalinkevichiusi	extinct
Squalicorax_falcatus	extinct
Squalicorax_kaupi	extinct
Squalicorax_primaevus	extinct
Squalicorax_pristodontus	extinct
Squalicorax_volgensis	extinct
Squalidae	extinct
Squaliformes	extinct
Squalinae	extinct
Squaliodalatias	extinct
Squaliodalatias_weltoni	extinct
Squaliolus	extinct
Squaliolus_schaubi	extinct
Squalogaleus	extinct
Squalogaleus_woodwardi	extinct
Squalus	extinct
Squalus_acanthias	extinct
Squalus_latidens	extinct
Squalus_minor	extinct
Squalus_occidentalis	extinct
Squalus_orpiensis	extinct
Squalus_weltoni	extinct
Squalus_woodburnei	extinct
Squatigaleus	extinct
Squatina	extinct
Squatina_alifera	extinct
Squatina_angeloides	extinct
Squatina_baumbergensis	extinct
Squatina_cranei	extinct
Squatina_decipiens	extinct
Squatina_frequens	extinct
Squatina_hassei	extinct
Squatina_occidentalis	extinct
Squatina_prima	extinct
Squatinidae	extinct
Squatirhina	extinct
Squatirhina_americana	extinct
Squatirhina_lonzeensis	extinct
Squatirhina_roessingi	extinct
Squatirhina_thiesi	extinct
Squatiscyllium	extinct
Stegostoma	extinct
Stegostoma_fasciatum	extinct
Striatolamia	extinct
Striatolamia_macrota	extinct
Synodontaspis	extinct
Synodontaspis_atlasi	extinct
Synodontaspis_hardingi	extinct
Synodontaspis_holmdelensis	extinct
Taeniura	extinct
Torpedo	extinct
Triaenodon	extinct
Triaenodon_obesus	extinct
Triakidae	extinct
Triakis	extinct
Trigonognathus	extinct
Trygon	extinct
Trygon_(Taeniura)_muricata	extinct
Trygon_alveolatus	extinct
Trygon_dux	extinct
Trygon_jaekeli	extinct
Trygon_sinhaleyus	extinct
Trygonidae	extinct
Urolophus	extinct
Welcommia_terencei	extinct
Weltonia	extinct
Youssoubatis	extinct
