Genus,Species,Red List status
Mustelus,schmitti,EN
Mustelus,sinusmexicanus,DD
Mustelus,stevensi,LC
Mustelus,walkeri,DD
Mustelus,whitneyi,VU
Mustelus,widodoi,DD
Myliobatis,aquila,DD
Myliobatis,californicus,LC
Myliobatis,chilensis,DD
Myliobatis,freminvillii,DD
Myliobatis,goodei,DD
Myliobatis,hamlyni,NT
Myliobatis,longirostris,NT
Myliobatis,peruvianus,DD
Myliobatis,tenuicaudatus,LC
Myliobatis,tobijei,DD
Narcine,atzi,DD
Narcine,bancroftii,CR
Narcine,brasiliensis,DD
Narcine,brevilabiata,VU
Narcine,entemedor,DD
Narcine,insolita,DD
Narcine,lasti,LC
Narcine,leoparda,NT
Narcine,lingula,DD
Narcine,maculata,DD
Narcine,nelsoni,LC
Narcine,oculifera,DD
Narcine,ornata,LC
Narcine,prodorsalis,DD
Narcine,rierai,DD
Narcine,tasmaniensis,LC
Narcine,timlei,DD
Narcine,vermiculatus,NT
Narcine,westraliensis,LC
Narke,capensis,DD
Narke,dipterygia,DD
Narke,japonica,VU
Nasolamia,velox,DD
Nebrius,ferrugineus,VU
Negaprion,acutidens,VU
Negaprion,brevirostris,NT
Neoharriotta,carri,DD
Neoharriotta,pinnata,DD
Neoharriotta,pumila,DD
Neoraja,africana,DD
Neoraja,caerulea,LC
Neoraja,carolinensis,DD
Neoraja,iberica,LC
Neoraja,stehmanni,DD
Neotrygon,annotata,NT
Neotrygon,kuhlii,DD
Neotrygon,leylandi,LC
Neotrygon,ningalooensis,DD
Neotrygon,picta,LC
Notoraja,azurea,LC
Notoraja,hirticauda,DD
Notoraja,lira,LC
Notoraja,ochroderma,DD
Notoraja,sapphira,DD
Notoraja,sticta,LC
Notoraja,tobitukai,DD
Notorynchus,cepedianus,DD
Odontaspis,ferox,VU
Odontaspis,noronhai,DD
Okamejei,acutispina,DD
Okamejei,arafurensis,LC
Okamejei,boesemani,DD
Okamejei,heemstrai,DD
Okamejei,hollandi,DD
Okamejei,kenojei,DD
Okamejei,leptoura,LC
Okamejei,meerdervoortii,DD
Okamejei,mengae,DD
Okamejei,philipi,DD
Okamejei,powelli,DD
Okamejei,schmidti,DD
Orectolobus,floridus,LC
Orectolobus,halei,LC
Orectolobus,hutchinsi,LC
Orectolobus,japonicus,DD
Orectolobus,maculatus,LC
Orectolobus,ornatus,LC
Orectolobus,parvimaculatus,LC
Orectolobus,reticulatus,DD
Orectolobus,wardi,LC
Oxynotus,bruniensis,DD
Oxynotus,caribbaeus,DD
Oxynotus,centrina,VU
Oxynotus,japonicus,DD
Oxynotus,paradoxus,DD
Paragaleus,leucolomatus,DD
Paragaleus,pectoralis,DD
Paragaleus,randalli,NT
Paragaleus,tengi,DD
Parascyllium,collare,LC
Parascyllium,elongatum,DD
Parascyllium,ferrugineum,LC
Parascyllium,sparsimaculatum,DD
Parascyllium,variolatum,LC
Paratrygon,ajereba,DD
Parmaturus,albimarginatus,DD
Parmaturus,albipenis,DD
Parmaturus,bigus,DD
Parmaturus,campechiensis,DD
Parmaturus,lanatus,DD
Parmaturus,macmillani,DD
Parmaturus,melanobranchus,DD
Parmaturus,pilosus,DD
Parmaturus,xaniurus,LC
Pastinachus,ater,LC
Pastinachus,sephen,DD
Pastinachus,solocirostris,EN
Pateobatis,fai,VU
Pateobatis,hortlei,VU
Pateobatis,jenkinsii,VU
Pateobatis,uarnacoides,VU
Pavoraja,alleni,LC
Pavoraja,arenaria,DD
Pavoraja,mosaica,LC
Pavoraja,nitida,LC
Pavoraja,pseudonitida,LC
Pavoraja,umbrosa,LC
Pentanchus,profundicolus,DD
Platyrhina,sinensis,VU
Platyrhinoidis,triseriata,LC
Plesiobatis,daviesi,LC
Plesiotrygon,iwamae,DD
Pliotrema,warreni,NT
Poroderma,africanum,NT
Poroderma,pantherinum,DD
Potamotrygon,brachyura,DD
Potamotrygon,castexi,DD
Potamotrygon,constellata,DD
Potamotrygon,falkneri,DD
Potamotrygon,henlei,LC
Potamotrygon,histrix,DD
Potamotrygon,leopoldi,DD
Potamotrygon,magdalenae,LC
Potamotrygon,marinae,DD
Potamotrygon,motoro,DD
Potamotrygon,ocellata,DD
Potamotrygon,orbignyi,LC
Potamotrygon,schroederi,DD
Potamotrygon,schuemacheri,DD
Potamotrygon,scobina,DD
Potamotrygon,signata,DD
Potamotrygon,tigrina,EN
Potamotrygon,yepezi,DD
Prionace,glauca,NT
Pristiophorus,cirratus,LC
Pristiophorus,delicatus,LC
Pristiophorus,japonicus,DD
Pristiophorus,nudipinnis,LC
Pristiophorus,schroederi,DD
Pristis,clavata,EN
Pristis,pectinata,CR
Pristis,pristis,CR
Pristis,zijsron,CR
Proscyllium,habereri,DD
Proscymnodon,macracanthus,DD
Proscymnodon,plunketi,NT
Psammobatis,bergi,LC
Psammobatis,extenta,LC
Psammobatis,lentiginosa,DD
Psammobatis,normani,DD
Psammobatis,parvacauda,DD
Psammobatis,rudis,DD
Psammobatis,rutrum,DD
Psammobatis,scobina,DD
Pseudobatos,glaucostigmus,DD
Pseudobatos,horkelii,CR
Pseudobatos,lentiginosus,NT
Pseudobatos,leucorhynchus,NT
Pseudobatos,percellens,NT
Pseudobatos,planiceps,DD
Pseudobatos,prahli,DD
Pseudobatos,productus,NT
Pseudocarcharias,kamoharai,NT
Pseudoginglymostoma,brevicaudatum,VU
Pseudoraja,fischeri,DD
Pseudotriakis,microdon,LC
Pteroplatytrygon,violacea,LC
Raja,ackleyi,DD
Raja,asterias,NT
Raja,bahamensis,DD
Raja,brachyura,NT
Raja,cervigoni,NT
Raja,clavata,NT
Raja,cortezensis,DD
Raja,eglanteria,LC
Raja,equatorialis,DD
Raja,herwigi,DD
Raja,inornata,LC
Raja,maderensis,VU
Raja,microocellata,NT
Raja,miraletus,LC
Raja,montagui,LC
Raja,pita,DD
Raja,polystigma,LC
Raja,radula,EN
Raja,rhina,LC
Raja,stellulata,LC
Raja,straeleni,DD
Raja,texana,DD
Raja,undulata,EN
Raja,velezi,DD
Rajella,annandalei,DD
Rajella,barnardi,LC
