Species ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Authority,Infraspecific rank,Infraspecific name,Infraspecific authority,Stock/subpopulation,Synonyms,Common names (Eng),Common names (Fre),Common names (Spa),Red List status,Red List criteria,Red List criteria version,Year assessed,Population trend,Petitioned
44225,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,sinensis,"Chu & Hu, 1981",,,,,Apristurus sp. nov. A  ,"South China Catshark, Freckled Catshark",Holbiche Chuchu,Pejegato Chino,DD,,3.1,2015,unknown,N
44226,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,spongiceps,"(Gilbert, 1905)",,,,,Catulus spongiceps|Parapristurus spongiceps  |Pentanchus spongiceps  ,Spongehead Catshark,Holbiche Tête Molle,Pejegato Esponjosa,DD,,3.1,2015,unknown,N
44574,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Apristurus,stenseni,"(Springer, 1979)",,,,,Parmaturus stenseni  ,Panama Ghost Catshark,Holbiche Nébuleuse,Pejegato Panameo,DD,,3.1,2004,unknown,N
161596,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,TRYGONORRHINIDAE,Aptychotrema,rostrata,"(Shaw, 1794)",,,,,Raja rostrata,"Eastern Shovelnose Ray, Eragoni, Banks Shovelnose Ray, Shovelnose Shark",,,LC,,3.1,2015,unknown,N
60179,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,TRYGONORRHINIDAE,Aptychotrema,timorensis,"Last, 2004",,,,,"",Spotted Shovelnose Ray,,,VU,B1ab(v),3.1,2015,unknown,N
44186,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,TRYGONORRHINIDAE,Aptychotrema,vincentiana,"(Haacke, 1885)",,,,,Rhinobates vincentianus,"Western Shovelnose Ray, Southern Shovelnose Ray, Yellow Shovelnose Ray",,,LC,,3.1,2015,unknown,N
161577,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Arhynchobatis,asperrimus,"Waite, 1909",,,,,"",Longtailed Skate,,,DD,,3.1,2009,unknown,N
41720,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Asymbolus,analis,"(Ogilby, 1885)",,,,,"","Grey Spotted Catshark, Australian Spotted Catshark",,,LC,,3.1,2015,stable,N
41721,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Asymbolus,funebris,"Compagno, Stevens & Last, 1999",,,,,"",Blotched Catshark,,,DD,,3.1,2016,unknown,N
195421,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Asymbolus,galacticus,"Séret & Last, 2008",,,,,"",Starry Catshark,Chien Étoilé,,LC,,3.1,2011,unknown,N
41722,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Asymbolus,occiduus,"Last, Gomon & Gledhill, 1999",,,,,"",Western Spotted Catshark,,,LC,,3.1,2016,unknown,N
41723,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Asymbolus,pallidus,"Last, Gomon & Gledhill, 1999",,,,,"",Pale Spotted Catshark,,,LC,,3.1,2016,unknown,N
41724,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Asymbolus,parvus,"Compagno, Stevens & Last, 1999",,,,,"",Dwarf Catshark,,,LC,,3.1,2016,unknown,N
41725,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Asymbolus,rubiginosus,"Last, Gomon & Gledhill, 1999",,,,,"","Orange Spotted Catshark, Rusty Catshark, Spotted Catshark",,,LC,,3.1,2015,unknown,N
41726,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Asymbolus,submaculatus,"Compagno, Stevens & Last, 1999",,,,,"","Variegated Catshark, Saddled Catshark",,,LC,,3.1,2016,unknown,N
41727,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Asymbolus,vincenti,"(Zietz, 1908)",,,,,Scyllium vincenti,Gulf Catshark,,,LC,,3.1,2016,unknown,N
161736,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Atelomycterus,baliensis,"White, Last & Dharmadi, 2005",,,,,"",Bali Catshark,,,VU,"B1ab(i,iii,v)",3.1,2009,unknown,N
41728,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Atelomycterus,fasciatus,"Compagno & Stevens, 1993",,,,,"",Banded Catshark,,,LC,,3.1,2015,unknown,N
41729,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Atelomycterus,macleayi,"Whitley, 1939",,,,,"","Australian Marbled Catshark, Marbled Catshark",,,LC,,3.1,2015,unknown,N
41730,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Atelomycterus,marmoratus,"(Anonymous [Bennett], 1830)",,,,,Scyllium marmoratum,Coral Catshark,Chien Corail,Pintarrojia,NT,,3.1,2003,unknown,N
161434,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Atelomycterus,marnkalha,"Jacobsen & Bennett, 2007",,,,,"",Eastern Banded Catshark,,,DD,,3.1,2015,unknown,N
44575,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Atlantoraja,castelnaui,"(Miranda Ribeiro, 1907)",,,,,Raja castelnaui,Spotback Skate,,"Raya A Lunares, Raia-jereba, Raia-chita, Raya Chita, Raya Pintada",EN,A2bd+3bd+4bd,3.1,2004,decreasing,N
61398,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Atlantoraja,cyclophora,"(Regan, 1903)",,,,,"",Eyespot Skate,,"Raja Ojona, Raya",VU,A3bd+4bd,3.1,2006,decreasing,N
63110,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Atlantoraja,platana,"(Günther, 1880)",,,,,"",La Plata Skate,,"Empalastro, Oscura, Platana, Raya, Raya Oscura",VU,A4bd,3.1,2007,decreasing,N
41870,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Aulohalaelurus,kanakorum,"Séret, 1990",,,,,"",New Caledonia Catshark,,,VU,B1ab(iii),3.1,2003,unknown,N
41731,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Aulohalaelurus,labiosus,"(Waite, 1905)",,,,,Catulus labiosus,Black Spotted Catshark,,,LC,,3.1,2015,unknown,N
2636,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,abyssicola,"(Gilbert, 1896)",,,,,Raja abyssicola  ,Deepsea Skate,,,DD,,3.1,2015,unknown,N
61399,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,aguja,"(Kendall & Radcliffe, 1912)",,,,,"",Aguja Skate,,,DD,,3.1,2006,unknown,N
161661,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Bathyraja,aleutica,(Gilbert 1896),,,,,Raja aleutica  ,Aleutian Skate,,,LC,,3.1,2015,stable,N
