"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"217547","occ","","","22219","Isurus","genus","34613","Late Miocene","","11.608","5.333","5419"
"217548","occ","","","22219","Myliobatis","genus","34741","Late Miocene","","11.608","5.333","5419"
"217549","occ","","","22219","Squatina","genus","34570","Late Miocene","","11.608","5.333","5419"
"217550","occ","","","22219","Galeorhinus","genus","83177","Late Miocene","","11.608","5.333","5419"
"217551","occ","","","22219","Raja","genus","34706","Late Miocene","","11.608","5.333","5419"
"217552","occ","","","22219","Squalus","genus","34562","Late Miocene","","11.608","5.333","5419"
"217557","occ","","","22219","Carcharhinus","genus","34640","Late Miocene","","11.608","5.333","5419"
"217558","occ","","","22219","Odontaspis","genus","34620","Late Miocene","","11.608","5.333","5419"
"217559","occ","","","22219","Carcharhinus","genus","34640","Late Miocene","","11.608","5.333","5419"
"217560","occ","","","22219","Odontaspis","genus","34620","Late Miocene","","11.608","5.333","5419"
"217562","occ","","","22219","Negaprion","genus","34651","Late Miocene","","11.608","5.333","5419"
"217563","occ","","","22219","Carcharocles megalodon","species","80603","Late Miocene","","11.608","5.333","5419"
"217564","occ","","","22219","Prionace","genus","34658","Late Miocene","","11.608","5.333","5419"
"217566","occ","","","22219","Carcharodon","genus","34605","Late Miocene","","11.608","5.333","5419"
"217574","occ","","","22219","Notidanus serratissimus","species","154371","Late Miocene","","11.608","5.333","5419"
"217580","occ","","","22219","Squatina","genus","34570","Late Miocene","","11.608","5.333","5419"
"217586","occ","","","22219","Trygonidae","family","68427","Late Miocene","","11.608","5.333","5419"
"217600","occ","","","22220","Isurus","genus","34613","Miocene","Pliocene","23.03","2.588","5438"
"217601","occ","","","22220","Lamna","genus","34615","Miocene","Pliocene","23.03","2.588","5438"
"217604","occ","","","22220","Rhinoptera","genus","34745","Miocene","Pliocene","23.03","2.588","5438"
"217650","occ","","","22221","Trygonidae","family","68427","Zanclean","","5.333","3.6","5391"
"217664","occ","","","22221","Squatina","genus","34570","Zanclean","","5.333","3.6","5391"
"217699","occ","","","22222","Squatina","genus","34570","Zanclean","","5.333","3.6","5423"
"219937","occ","","","22640","Cretorectolobus olsoni","species","117649","Late Campanian","","83.5","70.6","5723"
"219938","occ","","","22640","Eucrossorhinus microcuspidatus","species","117648","Late Campanian","","83.5","70.6","5723"
"219939","occ","","","22640","Odontaspis","genus","34620","Late Campanian","","83.5","70.6","5723"
"219940","occ","","","22640","Carcharias","genus","64190","Late Campanian","","83.5","70.6","5723"
