"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Sirenia"
"Access Time","Fri 2017-02-03 23:50:23 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Sirenia"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0377"
"Records Found","796"
"Records Returned","796"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"516154","occ","","","52230","Hydrodamalis sp.","genus","36885","","Hydrodamalis","genus","36885","Late Pliocene","","3.6","2.588","6029"
"516159","occ","","","52231","Hydrodamalis sp.","genus","36885","","Hydrodamalis","genus","36885","Late Pliocene","","3.6","2.588","6029"
"516211","occ","","","52242","Hydrodamalinae indet.","subfamily","53133","","Hydrodamalinae","subfamily","86913","Pleistocene","","2.588","0.0117","6029"
"516217","occ","","","52243","Hydrodamalis gigas","species","53136","","Hydrodamalis gigas","species","80943","Middle Pleistocene","","0.781","0.126","6029"
"518394","occ","18493","","52641","Metaxytherium serresii","species","65035","","Metaxytherium serresii","species","65034","Zanclean","","5.333","3.6","18922"
"518395","occ","18494","","52642","Metaxytherium serresii","species","65035","","Metaxytherium serresii","species","65034","Late Miocene","","11.608","5.333","18922"
"518396","occ","18495","","52643","Metaxytherium serresii","species","65035","","Metaxytherium serresii","species","65034","Middle Miocene","","15.97","11.608","18922"
"530214","occ","","","54136","Metaxytherium medium","species","65032","","Metaxytherium medium","species","53119","Serravallian","Tortonian","13.82","7.246","14634"
"536119","occ","","","45590","Eotheroides n. sp. waghapadarensis","species","145133","","Eotheroides waghapadarensis","species","145133","Lutetian","","47.8","41.3","14951"
"536847","occ","","","55599","Dioplotherium sp.","genus","36878","","Dioplotherium","genus","36878","Serravallian","","13.82","11.62","15016"
"537396","occ","","","14149","n. gen. Miodugong n. sp. brevicranius","species","65058","","Miodugong brevicranius","species","65058","Miocene","","23.03","5.333","15040"
"537790","occ","","","45497","Metaxytherium gervaisi","species","86890","subjective synonym of","Metaxytherium subapenninum","species","65036","Zanclean","","5.333","3.6","15057"
"537791","occ","","","55748","Metaxytherium gervaisi","species","86890","subjective synonym of","Metaxytherium subapenninum","species","65036","Zanclean","","5.333","3.6","26987"
"540212","occ","","","56358","Sirenia indet.","order","36873","","Sirenia","order","36873","Early Pliocene","","5.333","3.6","15183"
"540271","occ","","","56376","Hydrodamalis sp.","genus","36885","","Hydrodamalis","genus","36885","Early Pleistocene","","2.588","0.781","15189"
"541714","occ","23268","","56682","Sirenia indet.","order","306661","","Sirenia","order","36873","Rupelian","","33.9","28.1","33120"
"544209","occ","","","56884","Sirenia ? indet.","order","36873","","Sirenia","order","36873","Middle Miocene","","15.97","11.608","15332"
"544576","occ","20710","","56976","Nanosiren ? sp.","genus","124901","","Nanosiren","genus","124901","Burdigalian","","20.44","15.97","27454"
"544579","occ","29821","","56977","Dugonginae indet.","subfamily","53125","","Dugonginae","subfamily","53125","Aquitanian","","23.03","20.44","42600"
"544633","occ","","","56993","Sirenia indet.","order","36873","","Sirenia","order","36873","Aquitanian","","23.03","20.44","15365"
"544635","occ","","","56994","Sirenia indet.","order","36873","","Sirenia","order","36873","Early Pliocene","","5.333","3.6","15365"
"544636","occ","","","56995","Caribosiren turneri","species","64983","","Caribosiren turneri","species","64983","Late Oligocene","","28.4","23.03","15365"
"544637","occ","","","56996","Sirenia indet.","order","36873","","Sirenia","order","36873","Late Oligocene","","28.4","23.03","15365"
"544650","occ","","","57001","Sirenia indet.","order","36873","","Sirenia","order","36873","Late Oligocene","","28.4","23.03","15365"
"545348","occ","19627","","45777","Dugongidae indet.","family","43286","","Dugongidae","family","43286","Rupelian","","33.9","28.1","12126"
"545351","occ","","","45777","Halitherium sp.","genus","36883","nomen dubium","Dugongidae","family","43286","Rupelian","","33.9","28.1","15424"
"545352","occ","17970","","45777","Crenatosiren olseni","species","65045","","Crenatosiren olseni","species","65044","Rupelian","","33.9","28.1","17344"
"557237","occ","","","57700","Metaxytherium ? sp.","genus","36890","","Metaxytherium","genus","36890","Langhian","","15.97","13.82","15522"
"557619","occ","","","52183","Metaxytherium n. sp. arctodites","species","64996","","Metaxytherium arctodites","species","64996","Langhian","","15.97","13.82","16594"
"557632","occ","","","57777","Dugongidae indet.","family","43286","","Dugongidae","family","43286","Serravallian","","13.82","11.62","12691"
"557645","occ","","","57778","Dugongidae indet.","family","43286","","Dugongidae","family","43286","Serravallian","","13.82","11.62","12691"
"558242","occ","","","54136","Metaxytherium cuvierii","species","86875","subjective synonym of","Metaxytherium medium","species","53119","Serravallian","Tortonian","13.82","7.246","18828"
"558982","occ","","","58089","Sirenia indet.","order","36873","","Sirenia","order","36873","Irvingtonian","","1.8","0.3","15601"
"560793","occ","","","58449","n. gen. Corystosiren n. sp. varguezi","species","65048","","Corystosiren varguezi","species","65048","Zanclean","","5.333","3.6","16570"
"560794","occ","","","18532","Corystosiren varguezi","species","65048","","Corystosiren varguezi","species","65048","Late Hemphillian","","10.3","4.9","16570"
"560795","occ","","","18573","Corystosiren varguezi","species","65048","","Corystosiren varguezi","species","65048","Late Hemphillian","","10.3","4.9","16570"
"560796","occ","","","58450","Corystosiren varguezi","species","65048","","Corystosiren varguezi","species","65048","Zanclean","","5.333","3.6","16569"
"560797","occ","","","58451","n. gen. Xenosiren n. sp. yucateca","species","65053","","Xenosiren yucateca","species","65053","Hemphillian","","10.3","4.9","16571"
"560802","occ","","","58452","Dioplotherium manigaulti","species","53130","","Dioplotherium manigaulti","species","53130","Early Miocene","","23.03","15.97","16573"
"560803","occ","","","58453","Dioplotherium manigaulti","species","53130","","Dioplotherium manigaulti","species","53130","Early Miocene","","23.03","15.97","16573"
"560804","occ","","","18569","Dioplotherium manigaulti","species","53130","","Dioplotherium manigaulti","species","53130","Langhian","","15.97","13.82","16573"
"560805","occ","","","13626","n. gen. Ribodon n. sp. limbatus","species","64975","","Ribodon limbatus","species","64975","Tortonian","","11.62","7.246","16574"
"560806","occ","","","58454","Sirenotherium pirabense","species","64981","nomen dubium","Sirenia","order","36873","Early Miocene","","23.03","15.97","16575"
