"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Elasmobranchii&cc=ASI"
"Access Time","Fri 2017-02-03 22:50:36 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Elasmobranchii"
"","cc","ASI"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.239"
"Records Found","1367"
"Records Returned","1367"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"404701","occ","","","13449","Glyphis minor","species","80614","species not entered","Glyphis","genus","80614","Miocene","","23.03","5.333","10445"
"404702","occ","","","13449","Galeocerdo arcticus","species","34643","species not entered","Galeocerdo","genus","34643","Miocene","","23.03","5.333","10445"
"404703","occ","","","13449","Hemipristis serra","species","83182","","Hemipristis serra","species","83182","Miocene","","23.03","5.333","10445"
"404704","occ","","","13449","Myliobatis sinhaleyus","species","34741","species not entered","Myliobatis","genus","34741","Miocene","","23.03","5.333","10445"
"404705","occ","","","13449","Aetobatus sinhaleyus","species","34721","misspelling of, species not entered","Aetobatus","genus","34721","Miocene","","23.03","5.333","10445"
"410780","occ","","","39673","Lonchidion indicus","species","57757","","Lonchidion indicus","species","57757","Toarcian","Aalenian","182.7","170.3","10743"
"434606","occ","","","42459","Otodus obliquus","species","80600","recombined as","Lamna obliqua","species","80600","Ypresian","","56","47.8","11298"
"434607","occ","","","42459","Lamna rapax","species","34615","species not entered","Lamna","genus","34615","Ypresian","","56","47.8","11298"
"434608","occ","","","42459","Lamna libyca","species","34615","species not entered","Lamna","genus","34615","Ypresian","","56","47.8","11298"
"434609","occ","","","42459","Lamna sp.","genus","34615","","Lamna","genus","34615","Ypresian","","56","47.8","11298"
"434610","occ","","","42459","Oxyrhina desori","species","132703","misspelling of, recombined as","Isurus desorii","species","80594","Ypresian","","56","47.8","11298"
"434611","occ","","","42459","Hemipristis serra","species","83182","","Hemipristis serra","species","83182","Ypresian","","56","47.8","11298"
"434612","occ","","","42459","Galeocerdo latidens","species","154351","","Galeocerdo latidens","species","154351","Ypresian","","56","47.8","11298"
"434613","occ","","","42459","Sphyrna prisca","species","133193","","Sphyrna prisca","species","133193","Ypresian","","56","47.8","11298"
"434614","occ","","","42459","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Ypresian","","56","47.8","11298"
"462057","occ","","","45589","Scoliodon sp.","genus","100438","","Scoliodon","genus","100438","Lutetian","","47.8","41.3","11991"
"462058","occ","","","45590","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Lutetian","","47.8","41.3","11991"
"462069","occ","","","45591","Myliobatis sp.","genus","34741","","Myliobatis","genus","34741","Lutetian","","47.8","41.3","11991"
"462446","occ","","","38498","Galeocerdo latidens","species","154351","","Galeocerdo latidens","species","154351","Middle Eocene","","48.6","37.2","12009"
"463200","occ","","","45702","Rhinoptera sherborni","species","34745","species not entered","Rhinoptera","genus","34745","Middle Eocene","","48.6","37.2","11958"
