"Cretolamna biauriculata","species","Late Campanian"
"Cretolamna","genus","Late Campanian"
"Cretolamna appendiculata","species","Late Campanian"
"Carcharias","genus","Late Campanian"
"Chiloscyllium","genus","Late Campanian"
"Plicatoscyllium","genus","Late Campanian"
"Squatigaleus","genus","Late Campanian"
"Dalpiazia stromeri","species","Late Campanian"
"Parapalaeobates atlanticus","species","Late Campanian"
"Hypsobatis","genus","Late Campanian"
"Youssoubatis","genus","Late Campanian"
"Erguitaia","genus","Late Campanian"
"Coupatezia","genus","Late Campanian"
"Rhombodus meridionalis","species","Late Campanian"
"Rhombodus","genus","Late Campanian"
"Myliobatiformes","order","Late Campanian"
"Scapanorhynchus rapax","species","Late Campanian"
"Squalicorax pristodontus","species","Late Campanian"
"Squalicorax kaupi","species","Late Campanian"
"Parapalaeobates atlanticus","species","Late Campanian"
"Rhombodus","genus","Late Campanian"
"Squalicorax","genus","Late Campanian"
"Glikmanius occidentalis","species","Wordian"
"Lissodus","genus","Wordian"
"Hybodontoidea","superfamily","Wordian"
"Squalicorax dalinkevichiusi","species","Late Albian"
"Paraisurus","genus","Late Albian"
"Batoidea","unranked clade","Late Albian"
"Parapalaeobates","genus","Coniacian"
"Scapanorhynchus","genus","Maastrichtian"
"Cretolamna biauriculata","species","Maastrichtian"
"Squalicorax","genus","Maastrichtian"
"Plicatoscyllium","genus","Maastrichtian"
